word,val
洪福齐天,50
福如东海,50
福泰安康,10
寿山福海,3
福寿齐天,3
天赐之福,3
福慧双修,5
福禄双全,3
福寿康宁,3
厚德载福,5
福寿绵长,3
福齐南山,3
福禄长久,3
后福无量,3
国利民福,50
阖家幸福,5
福禄寿喜,3
德茂福盛,5
幸福满溢,5
百福呈祥,20
百福具臻,6
五福临门,6
福荫子孙,3
琅嬛福地,3
天降福瑞,2
福寿绵长,5
全家福,4
幸福,4
祝福,3
鸿福,3
福泽,2
福庆,2
家福,2
祈福,2
福气,3
福1,2
福2,2
福3,2
福4,2
福5,2
福6,2
福7,2
福8,2
福9,2
福10,2
福11,2
福12,2
福13,2
福14,2
福15,2
福16,2
福17,2
福18,2
福19,2
福20,2
福21,2
福22,2
福23,2
福24,2
福25,2
福26,2
福27,2
福28,2
福29,2
福30,2
福31,2
福32,2
福33,2
福34,2
福35,2
福36,2
福36,2
福38,2
福39,2
福40,2
福41,2
福42,2
福43,2
福44,2
福45,2
福46,2
福47,2
福48,2
福49,2
福50,2
福51,2
福52,2
福53,2
福54,2
福55,2
福56,2
福57,2
福58,2
福59,2
福60,2
福61,2
福62,2
福63,2
福64,2
福65,2
福66,2
福67,2
福68,2
福69,2
福70,2
福71,2
福72,2
福73,2
福74,2
福75,2
福76,2
福77,2
福78,2
福79,2
福80,2
福81,2
福82,2
福83,2
福84,2
福85,2
福86,2
福87,2
福88,2
福89,2
福90,2
福91,2
福92,2
福93,2
福94,2
福95,2
福96,2
福97,2
福98,2
福99,2
福100,2
福101,2
福102,2
福103,2
福104,2
福105,2
福106,2
福107,2
福108,2
福109,2
福120,2
福121,2
福122,2
福123,2
福124,2
福125,2
福126,2
福127,2
福128,2
福129,2
福130,2
福131,2
福132,2
福133,2
福134,2
福135,2
福136,2
福137,2
福138,2
福139,2
福140,2
福141,2
福142,2
福143,2
福144,2
福145,2
福146,2
福147,2
福148,2
福149,2
福150,2
福151,2
福152,2
福153,2
福154,2
福155,2
福156,2
福157,2
福158,2
福159,2
福160,2
福161,2
福162,2
福163,2
福164,2
福165,2
福166,2
福167,2
福168,2
福169,2
福170,2
福171,2
福172,2
福173,2
福174,2
